51	RB DT IN, RB VBN NNS, RB DT IN
52	RB BENTITY2 VBD, RB CC NN, RB BENTITY2 VBD, RB CC BENTITY1, RB BENTITY2 VBD, RB MD RB, RB BENTITY2 VBD, RB DT BENTITY1, RB BENTITY2 VBD, RB WRB VBG, RB BENTITY2 VBD, RB NN CC, RB BENTITY2 VBD
53	RB VBP BENTITY1, RB VBD TO, RB VBP BENTITY1, RB NN VBZ, RB VBP BENTITY1, RB VBP BENTITY2, RB VBP BENTITY1, RB IN CD, RB VBP BENTITY1
54	RB WRB JJ, RB WRB CC, RB BENTITY2 TO, RB WRB JJ, RB WRB CC, RB JJR JJ, RB WRB JJ, RB WRB CC, RB BENTITY1 MD, RB WRB JJ, RB WRB CC
55	RB VBN #, RB CC CD, RB VBN #, RB VB RB, RB VBN #
56	RB NNS CC, RB NN BENTITY, RB NNS CC
57	RB BENTITY2 VBZ, RB NN BENTITY1, RB BENTITY2 VBZ, RB VBN CC, RB BENTITY2 VBZ
58	RB VBN BENTITY1, RB PRP RB, RB VBN BENTITY1, RB MD VB, RB VBN BENTITY1
59	RB RB DT, RB RB CC, RB RB DT, RB BENTITY2 RB, RB RB DT, RB RB VBG, RB RB DT, RB VBG CC, RB RB DT
60	RB NNP IN, RB NNP CC, RB NNP NN, RB CC BENTITY2, RB NNP IN, RB NNP CC, RB NNP NN, RB RB #, RB NNP IN, RB NNP CC, RB NNP NN
61	RB IN VBN
62	RB IN IN
63	RB BENTITY2 IN, RB VBD VBN, RB BENTITY2 IN, RB VBN BENTITY2, RB BENTITY2 IN, RB PRP VBZ, RB BENTITY2 IN
64	RB VBP TO, RB TO CC, RB VBP TO, RB CD CD, RB VBP TO, RB CC VBN, RB VBP TO
65	RB VBG NNS, RB JJ BENTITY2, RB VBG NNS
66	RB JJ CC, RB TO JJ, RB JJ CC, RB BENTITY2 MD, RB JJ CC
67	RB BENTITY1 NNS, RB BENTITY NNS, RB BENTITY1 NNS, RB CD JJR, RB BENTITY1 NNS
68	RB BENTITY BENTITY2, RB WRB NN, RB WRB RB, RB BENTITY BENTITY2, RB DT VBD, RB BENTITY BENTITY2
69	RB BENTITY1 IN, RB IN PRP$, RB BENTITY1 IN, RB TO NNS, RB BENTITY1 IN
70	RB CD VBN, RB RBR VBN, RB CD VBN, RB VBN RB, RB CD VBN
71	RB VBG PRP$, RB BENTITY IN, RB VBG PRP$, RB JJR VBZ, RB JJR DT, RB VBG PRP$, RB VB BENTITY1, RB VBG PRP$, RB NNS TO, RB VBG PRP$
72	RB TO WP, RB VBZ RB, RB TO WP
73	RB NN JJ
74	RB BENTITY1 WDT, RB JJ #, RB BENTITY1 WDT, RB # #, RB BENTITY1 WDT, RB BENTITY MD, RB BENTITY VBN, RB BENTITY1 WDT
75	RB DT VBZ, RB BENTITY1 VBN, RB DT VBZ, RB JJR WRB, RB DT VBZ, RB VBN WRB, RB DT VBZ, RB CC NNS, RB DT VBZ
76	RB IN CC
77	RB VBD NNS
78	RB VBD CC, RB DT CD, RB VBD CC, RB DT BENTITY2, RB VBD CC, RB CD VBD, RB VBD CC, RB NNS VBN, RB NNS NN, RB VBD CC
79	RB VBP NNS, RB CC WRB, RB VBP NNS
80	RB BENTITY2 PRP, RB JJ VBN, RB BENTITY2 PRP
81	RB VBD RB, RB JJR BENTITY1, RB VBD RB, RB VB PRP$, RB VBD RB
82	RB VB NNS, RB VBN CD, RB VB NNS, RB NN MD, RB VB NNS
83	RB VBD NNP, RB NN VBN, RB VBD NNP
84	RB VBN VBG, RB DT RB, RB VBN VBG, RB VBN DT, RB VBN VBG
85	RB VB CD, RB NNS JJ, RB VB CD
86	RB VBP CC
87	RB CC VBZ
88	RB DT VBG, RB VBZ VBN, RB DT VBG
89	RB VBD CD, RB BENTITY WDT, RB VBD CD, RB VBP PRP$, RB VBD CD
90	RB BENTITY2 VBN, RB RB BENTITY, RB BENTITY2 VBN
91	RB VBZ CC, RB VBG VBN, RB VBZ CC, RB VBD JJR, RB VBZ CC
92	RB VBG VBG
93	RB RB TO, RB RB BENTITY1, RB RB TO, RB RB CD, RB RB TO
94	RB BENTITY PRP
95	RB VBZ NNS, RB RB MD, RB VBZ NNS
96	RB BENTITY2 WDT, RB NN BENTITY2, RB BENTITY2 WDT, RB VBP VBN, RB BENTITY2 WDT
97	RB IN RB
98	RB VB RP, RB NN CD, RB VB RP, RB VB CC, RB VB RP
99	RB BENTITY1 CD
100	RB BENTITY DT, RB PRP MD, RB BENTITY DT
101	RB JJR BENTITY, RB JJR BENTITY2, RB RB RB, RB JJR BENTITY, RB JJR BENTITY2
102	RB BENTITY VBP, RB BENTITY TO, RB BENTITY1 DT, RB BENTITY VBP, RB BENTITY TO, RB BENTITY CD, RB BENTITY VBP, RB BENTITY TO, RB PRP$ FW, RB BENTITY VBP, RB BENTITY TO
103	RB DT JJR
104	RB VBZ RP, RB DT DT, RB VBZ RP, RB RB WRB, RB VBZ RP
105	RB IN AFX
106	RB NN DT, RB BENTITY2 CD, RB BENTITY2 VBP, RB NN DT
107	RB VBP WRB
108	RB BENTITY1 VBP, RB NN #, RB BENTITY1 VBP, RB IN TO, RB BENTITY1 VBP, RB CC VBP, RB BENTITY1 VBP
109	RB VBN PRP, RB VBN MD, RB VBN PRP
110	RB BENTITY1 VBG, RB NN VBG, RB BENTITY1 VBG, RB VBP RB, RB BENTITY1 VBG
111	RB NNS WDT, RB NNS BENTITY2, RB NNS VBD, RB JJ VBZ, RB NNS WDT, RB NNS BENTITY2, RB NNS VBD
112	RB JJ VBG, RB VBZ NNP, RB JJ VBG
113	RB RB NN, RB RB JJR, RB RB BENTITY2, RB VBZ VBG, RB VBZ CD, RB RB NN, RB RB JJR, RB RB BENTITY2
114	RB TO PRP$, RB VBZ AFX, RB TO PRP$, RB CC VBG, RB TO PRP$
115	RB VBN NNP, RB JJ DT, RB VBN NNP
116	RB VBZ FW, RB DT FW, RB VBZ FW, RB IN NNP, RB VBZ FW
117	RB BENTITY1 PRP
118	RB BENTITY2 DT
119	RB IN FW
120	RB VB RBR, RB BENTITY1 TO, RB VB RBR
121	RB CD BENTITY1
122	RB PRP CC
123	RB PRP IN
124	RB IN JJS, RB JJ NNP, RB JJ CD, RB IN JJS
125	RB CC TO
126	RB VBN VBP, RB IN JJR, RB VBN VBP
127	RB NN WDT
128	RB VBN PRP$, RB VBD FW, RB VBN PRP$
129	RB VBN RP, RB IN VBZ, RB VBN RP
130	RB IN PRP, RB JJ AFX, RB IN PRP
131	RB DT VBP, RB DT WDT
132	RB VB JJS, RB VB VBG, RB RB RBR, RB RB PRP, RB VB JJS, RB VB VBG
133	RB PRP$ JJS
134	RB JJ WRB, RB JJ RBS, RB FW FW, RB JJ WRB, RB JJ RBS
135	RB VBP PRP
136	RB VBD PRP
137	RB RB VBP
138	RB NN TO, RB NN VBP, RB VBZ WRB, RB VBZ PRP$, RB NN TO, RB NN VBP, RB PDT DT, RB NN TO, RB NN VBP
139	RB VBG WRB, RB VBG CD, RB IN WP, RB VBG WRB, RB VBG CD
140	RB BENTITY VBG, RB VBN VBZ, RB BENTITY VBG
141	RB DT JJS, RB DT NNP
142	RB VB WRB
143	RB IN WRB, RB IN VB
144	RB JJ RB, RB JJ VBD, RB JJ EX
145	RB VBD VBG
146	RB IN EX
147	RB VBN VBD, RB VBN AFX
148	DT
149	DT NN IN
150	DT JJ NN
151	DT NN NN
152	DT NNS IN
153	DT BENTITY NN
154	DT NNS VBP, DT BENTITY2 #, DT NNS VBP, DT BENTITY1 NN, DT NNS VBP
155	DT RB VBN, DT BENTITY BENTITY, DT RB VBN, DT IN DT, DT RB VBN
156	DT VBZ IN, DT CD NN, DT VBZ IN, DT MD VB, DT VBZ IN, DT VBD IN, DT VBZ IN, DT BENTITY1 BENTITY2, DT VBZ IN, DT RB JJ, DT VBZ IN, DT VBG NNS, DT VBZ IN
157	DT VBN NN, DT BENTITY2 NN, DT VBN NN
158	DT BENTITY #, DT NNP NNP, DT BENTITY #, DT JJS NN, DT BENTITY #
159	DT NNP NN, DT RBS JJ, DT NNP NN, DT BENTITY1 BENTITY, DT NNP NN
160	DT VB VBN, DT VBG NN, DT VB VBN, DT VBZ VBN, DT VB VBN
161	DT BENTITY2 BENTITY, DT IN BENTITY, DT BENTITY2 BENTITY
162	DT MD RB, DT JJ NNS, DT MD RB, DT JJS JJ, DT MD RB
163	DT VBZ DT, DT JJ JJ, DT VBZ DT, DT CD NNS, DT VBZ DT, DT CD JJ, DT VBZ DT
164	DT VBD DT, DT DT NN, DT VBD DT
165	DT NNP IN, DT IN JJ, DT NNP IN
166	DT VBD RB, DT VBP DT, DT VBD RB
167	DT WDT VBZ, DT VBN BENTITY, DT WDT VBZ
168	DT JJS NNS, DT JJS BENTITY, DT JJS NNS, DT AFX BENTITY2, DT JJS NNS
169	DT VBZ TO, DT VBD BENTITY, DT VBZ TO, DT VBD VBN, DT VBZ TO, DT AFX BENTITY, DT VBZ TO, DT RBS RB, DT VBZ TO, DT VBP VBN, DT VBZ TO
170	DT WDT VBP, DT IN BENTITY2, DT WDT VBP
171	DT AFX BENTITY1, DT BENTITY CC, DT AFX BENTITY1, DT JJR JJ, DT AFX BENTITY1, DT VB DT, DT AFX BENTITY1
172	DT BENTITY BENTITY1, DT VBN IN, DT BENTITY BENTITY1, DT BENTITY JJ, DT BENTITY BENTITY1, DT PRP RB, DT PRP VBP, DT BENTITY BENTITY1, DT BENTITY1 JJ, DT BENTITY BENTITY1, DT VBZ BENTITY, DT BENTITY BENTITY1
